Column,Data Type,Missing Values,Missing %,Unique Values,Example Values
age,float64,0,0.0,55,['75.0' '48.0' '53.0']
gender,int64,0,0.0,2,['0' '1']
cholesterol,float64,0,0.0,200,['228.0' '204.0' '234.0']
blood_pressure,float64,0,0.0,90,['119.0' '165.0' '91.0']
heart_rate,float64,0,0.0,40,['66.0' '62.0' '79.0']
smoking,int64,0,0.0,3,['0' '2' '1']
alcohol_intake,int64,0,0.0,2,['0' '1']
exercise_hours,float64,0,0.0,10,['1.0' '4.0' '6.0']
family_history,int64,0,0.0,2,['0' '1']
diabetes,int64,0,0.0,2,['0' '1']
obesity,int64,0,0.0,2,['1' '0']
stress_level,float64,0,0.0,10,['8.0' '9.0' '5.0']
blood_sugar,float64,0,0.0,130,['119.0' '70.0' '196.0']
exercise_induced_angina,int64,0,0.0,2,['1' '0']
chest_pain_type,int64,0,0.0,4,['1' '3' '2']
heart_disease,float64,0,0.0,2,['1.0' '0.0']
